online_order,book_table,rate,votes,rest_type,cuisines,cost,menu_item,type,city
0,0,3.9,93,19,713,300,8778,4,1
1,0,3.8,42,78,2474,300,5057,4,1
1,0,2.5,247,27,1761,500,4964,4,1
1,0,3.1,13,19,615,400,5266,4,1
0,0,3.7,39,27,1834,450,8778,4,1
1,0,3,62,19,700,400,4208,4,1
1,0,3.8,160,27,1834,700,7051,4,1
0,0,3.5,14,88,1699,200,8778,4,1
0,0,3.8,42,27,1834,700,8778,4,1
1,0,3.1,119,27,391,700,8778,4,1
1,0,3.6,129,27,1656,600,2310,4,1
0,0,3.3,62,8,2474,800,8778,4,1
0,0,3.700448818,0,65,2381,200,8778,4,1
1,0,3.6,24,27,1834,600,8778,4,1
0,0,3.700448818,0,27,2136,500,8778,4,1
0,0,2.6,283,27,1761,600,8778,4,1
0,0,3.6,42,17,360,300,8778,4,1
0,0,3.4,10,78,1645,300,8778,4,1
0,0,3.7,39,27,2038,950,8778,4,1
1,0,3.8,59,27,1834,750,8778,4,1
